PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SG/SF,Pat Connaughton (24725679),Pat Connaughton,24725679,SG/SF/F/G/UTIL,4700,MIL@CHI 10/11/2022 08:00PM ET,MIL,19.92
,,,,,,,,,SF,Nassir Little (24725658),Nassir Little,24725658,SF/F/UTIL,4700,POR@GSW 10/11/2022 10:00PM ET,POR,21.86
,,,,,,,,,SF,Caleb Houstan (24725663),Caleb Houstan,24725663,SF/F/UTIL,4700,MEM@ORL 10/11/2022 07:00PM ET,ORL,0
,,,,,,,,,PG,Kennedy Chandler (24725676),Kennedy Chandler,24725676,PG/G/UTIL,4700,MEM@ORL 10/11/2022 07:00PM ET,MEM,0
,,,,,,,,,C,Kelly Olynyk (24725661),Kelly Olynyk,24725661,C/UTIL,4700,SAS@UTA 10/11/2022 09:00PM ET,UTA,21.13
,,,,,,,,,SF/PF,Keita Bates-Diop (24725672),Keita Bates-Diop,24725672,SF/PF/F/UTIL,4700,SAS@UTA 10/11/2022 09:00PM ET,SAS,12.60
,,,,,,,,,PF,Braxton Key (24725669),Braxton Key,24725669,PF/F/UTIL,4700,OKC@DET 10/11/2022 07:00PM ET,DET,17.96
,,,,,,,,,SF,Aaron Wiggins (24725684),Aaron Wiggins,24725684,SF/F/UTIL,4700,OKC@DET 10/11/2022 07:00PM ET,OKC,16.29
,,,,,,,,,PG/SG,Javon Freeman-Liberty (24725696),Javon Freeman-Liberty,24725696,PG/SG/G/UTIL,4600,MIL@CHI 10/11/2022 08:00PM ET,CHI,0
,,,,,,,,,C,Marques Bolden (24725713),Marques Bolden,24725713,C/UTIL,4600,MIL@CHI 10/11/2022 08:00PM ET,MIL,0
,,,,,,,,,SG/SF,Keon Johnson (24725687),Keon Johnson,24725687,SG/SF/F/G/UTIL,4600,POR@GSW 10/11/2022 10:00PM ET,POR,15.03
,,,,,,,,,PG/SG,Devin Cannady (24725692),Devin Cannady,24725692,PG/SG/G/UTIL,4600,MEM@ORL 10/11/2022 07:00PM ET,ORL,18.7
,,,,,,,,,SG/SF,David Roddy (24725708),David Roddy,24725708,SG/SF/F/G/UTIL,4600,MEM@ORL 10/11/2022 07:00PM ET,MEM,0
,,,,,,,,,SF/PF,Doug McDermott (24725704),Doug McDermott,24725704,SF/PF/F/UTIL,4600,SAS@UTA 10/11/2022 09:00PM ET,SAS,17.42
,,,,,,,,,SF/PF,Isaiah Livers (24725700),Isaiah Livers,24725700,SF/PF/F/UTIL,4600,OKC@DET 10/11/2022 07:00PM ET,DET,14.28
,,,,,,,,,SG/SF,Jalen Williams (24725715),Jalen Williams,24725715,SG/SF/F/G/UTIL,4600,OKC@DET 10/11/2022 07:00PM ET,OKC,0
,,,,,,,,,SF,Malcolm Hill (24725726),Malcolm Hill,24725726,SF/F/UTIL,4500,MIL@CHI 10/11/2022 08:00PM ET,CHI,8.04
,,,,,,,,,SG,AJ Green (24725747),AJ Green,24725747,SG/G/UTIL,4500,MIL@CHI 10/11/2022 08:00PM ET,MIL,0
,,,,,,,,,PG,Ty Jerome (24725733),Ty Jerome,24725733,PG/G/UTIL,4500,POR@GSW 10/11/2022 10:00PM ET,GSW,14.16
,,,,,,,,,SF/PF,Andre Iguodala (24725736),Andre Iguodala,24725736,SF/PF/F/UTIL,4500,POR@GSW 10/11/2022 10:00PM ET,GSW,14.55
,,,,,,,,,SG,Wes Iwundu (24725756),Wes Iwundu,24725756,SG/G/UTIL,4500,POR@GSW 10/11/2022 10:00PM ET,POR,13.75
,,,,,,,,,PG/SG,Gary Payton II (24725759),Gary Payton II,24725759,PG/SG/G/UTIL,4500,POR@GSW 10/11/2022 10:00PM ET,POR,16.11
,,,,,,,,,PF,Paolo Banchero (24725723),Paolo Banchero,24725723,PF/F/UTIL,4500,MEM@ORL 10/11/2022 07:00PM ET,ORL,0
,,,,,,,,,PF,Jake LaRavia (24725744),Jake LaRavia,24725744,PF/F/UTIL,4500,MEM@ORL 10/11/2022 07:00PM ET,MEM,0
,,,,,,,,,SF,Johnny Juzang (24725720),Johnny Juzang,24725720,SF/F/UTIL,4500,SAS@UTA 10/11/2022 09:00PM ET,UTA,0
,,,,,,,,,PF/C,Alize Johnson (24725740),Alize Johnson,24725740,PF/C/F/UTIL,4500,SAS@UTA 10/11/2022 09:00PM ET,SAS,5.86
,,,,,,,,,SF/PF,Kevin Knox II (24725729),Kevin Knox II,24725729,SF/PF/F/UTIL,4500,OKC@DET 10/11/2022 07:00PM ET,DET,6.42
,,,,,,,,,SF/PF,Ousmane Dieng (24725750),Ousmane Dieng,24725750,SF/PF/F/UTIL,4500,OKC@DET 10/11/2022 07:00PM ET,OKC,0
,,,,,,,,,C,Jeremiah Robinson-Earl (24725754),Jeremiah Robinson-Earl,24725754,C/UTIL,4500,OKC@DET 10/11/2022 07:00PM ET,OKC,18.04
,,,,,,,,,PF/C,Marko Simonovic (24725773),Marko Simonovic,24725773,PF/C/F/UTIL,4400,MIL@CHI 10/11/2022 08:00PM ET,CHI,3.67
,,,,,,,,,SF,Marjon Beauchamp (24725793),Marjon Beauchamp,24725793,SF/F/UTIL,4400,MIL@CHI 10/11/2022 08:00PM ET,MIL,0
,,,,,,,,,PG/SG,Donte DiVincenzo (24725763),Donte DiVincenzo,24725763,PG/SG/G/UTIL,4400,POR@GSW 10/11/2022 10:00PM ET,GSW,21.01
,,,,,,,,,SG,Pat Spencer (24725780),Pat Spencer,24725780,SG/G/UTIL,4400,POR@GSW 10/11/2022 10:00PM ET,GSW,0
,,,,,,,,,SF,Jared Rhoden (24725800),Jared Rhoden,24725800,SF/F/UTIL,4400,POR@GSW 10/11/2022 10:00PM ET,POR,0
,,,,,,,,,C,Greg Brown (24725803),Greg Brown,24725803,C/UTIL,4400,POR@GSW 10/11/2022 10:00PM ET,POR,11.20
,,,,,,,,,PG/SG,Jalen Suggs (24725769),Jalen Suggs,24725769,PG/SG/G/UTIL,4400,MEM@ORL 10/11/2022 07:00PM ET,ORL,25.00
,,,,,,,,,SG/SF,Ziaire Williams (24725788),Ziaire Williams,24725788,SG/SF/F/G/UTIL,4400,MEM@ORL 10/11/2022 07:00PM ET,MEM,13.64
,,,,,,,,,C,Walker Kessler (24725767),Walker Kessler,24725767,C/UTIL,4400,SAS@UTA 10/11/2022 09:00PM ET,UTA,0
,,,,,,,,,SG/SF,Malaki Branham (24725783),Malaki Branham,24725783,SG/SF/F/G/UTIL,4400,SAS@UTA 10/11/2022 09:00PM ET,SAS,0
,,,,,,,,,SG,Jaden Ivey (24725777),Jaden Ivey,24725777,SG/G/UTIL,4400,OKC@DET 10/11/2022 07:00PM ET,DET,0
,,,,,,,,,SF/PF,Kenrich Williams (24725796),Kenrich Williams,24725796,SF/PF/F/UTIL,4400,OKC@DET 10/11/2022 07:00PM ET,OKC,18.48
,,,,,,,,,PG/SG,Ayo Dosunmu (24725810),Ayo Dosunmu,24725810,PG/SG/G/UTIL,4300,MIL@CHI 10/11/2022 08:00PM ET,CHI,18.90
,,,,,,,,,PG,Lindell Wigginton (24725830),Lindell Wigginton,24725830,PG/G/UTIL,4300,MIL@CHI 10/11/2022 08:00PM ET,MIL,8.22
,,,,,,,,,PF,Patrick Baldwin Jr. (24725819),Patrick Baldwin Jr.,24725819,PF/F/UTIL,4300,POR@GSW 10/11/2022 10:00PM ET,GSW,0
,,,,,,,,,C,Olivier Sarr (24725837),Olivier Sarr,24725837,C/UTIL,4300,POR@GSW 10/11/2022 10:00PM ET,POR,15.31
,,,,,,,,,C,Bol Bol (24725808),Bol Bol,24725808,C/UTIL,4300,MEM@ORL 10/11/2022 07:00PM ET,ORL,5.38
,,,,,,,,,SF,Ochai Agbaji (24725805),Ochai Agbaji,24725805,SF/F/UTIL,4300,SAS@UTA 10/11/2022 09:00PM ET,UTA,0
,,,,,,,,,SF,Dominick Barlow (24725822),Dominick Barlow,24725822,SF/F/UTIL,4300,SAS@UTA 10/11/2022 09:00PM ET,SAS,0
,,,,,,,,,SG/SF,Romeo Langford (24725825),Romeo Langford,24725825,SG/SF/F/G/UTIL,4300,SAS@UTA 10/11/2022 09:00PM ET,SAS,9.73
,,,,,,,,,SG/SF,Hamidou Diallo (24725814),Hamidou Diallo,24725814,SG/SF/F/G/UTIL,4300,OKC@DET 10/11/2022 07:00PM ET,DET,21.68
,,,,,,,,,PG/SG,Trey Burke (24725833),Trey Burke,24725833,PG/SG/G/UTIL,4300,OKC@DET 10/11/2022 07:00PM ET,OKC,7.88
,,,,,,,,,SF/PF,Patrick Williams (24725849),Patrick Williams,24725849,SF/PF/F/UTIL,4200,MIL@CHI 10/11/2022 08:00PM ET,CHI,18.86
,,,,,,,,,PG,Luca Vildoza (24725865),Luca Vildoza,24725865,PG/G/UTIL,4200,MIL@CHI 10/11/2022 08:00PM ET,MIL,2.57
